Key,Dialogue,Context
[BARK]Arrested_0,お願いだ、放してくれ！みんなが助けを必要としているんだ！,
[BARK]Arrested_1,お願いだ、放してくれ！みんなが助けを必要としているんだ！,
[BARK]Arrested_10,何をしてるんだ？,
[BARK]Arrested_11,人違いだ！,
[BARK]Arrested_12,人違いだ！,
[BARK]Arrested_13,俺はあいつらの仲間じゃない！,
[BARK]Arrested_14,助けてください！,
[BARK]Arrested_15,ありがとう！ムーチャス・グラシアス！,
[BARK]Arrested_16,ああ、ありがとう。,
[BARK]Arrested_17,グラシアス！,
[BARK]Arrested_18,奴らがみんなを殺したんだ！,
[BARK]Arrested_2,俺は看護師だ！奴らの仲間じゃない！,
[BARK]Arrested_3,患者を治療していたら、あいつらが来て銃をぶっ放し始めたんだ。,
[BARK]Arrested_4,誰かを探しているんだと思う。,
[BARK]Arrested_5,誰かを探しているんだと思う。,
[BARK]Arrested_6,俺はここで働いているだけだ。何が起きているのかはわからない。,
[BARK]Arrested_7,他にも助けを必要としているスタッフや患者がいる。,
[BARK]Arrested_8,俺も手伝う！,
[BARK]Arrested_9,俺も手伝う！,
[BARK]ArrestIdle_0,頼む！この人たちには治療が必要だ！,
[BARK]ArrestIdle_1,何が必要なんだ？手伝うよ！,
[BARK]ArrestIdle_10,気をつけろ！,
[BARK]ArrestIdle_11,もう行かないと、今すぐに！,
[BARK]ArrestIdle_2,救急隊員がいるんだが、彼らがどうなったのかはわからない！,
[BARK]ArrestIdle_3,ICUに行ってください！,
[BARK]ArrestIdle_4,救急に行く必要がある！,
[BARK]ArrestIdle_5,救急に行く必要がある！,
[BARK]ArrestIdle_6,この人たちを脱出させないと！,
[BARK]ArrestIdle_7,他にも看護師がいる！医者もだ！探してくれ！頼む！,
[BARK]ArrestIdle_8,出口を見つけないと！,
[BARK]ArrestIdle_9,どのエリアが安全なのかわからない。,
[BARK]Bashed_0,（うめき）,
[BARK]Bashed_1,（うめき）,
[BARK]Bashed_10,（うめき）,
[BARK]Bashed_11,（うめき）,
[BARK]Bashed_2,（うめき）,
[BARK]Bashed_3,（うめき）,
[BARK]Bashed_4,（うめき）,
[BARK]Bashed_5,（うめき）,
[BARK]Bashed_6,（うめき）,
[BARK]Bashed_7,（うめき）,
[BARK]Bashed_8,やめろ！,
[BARK]Bashed_9,（うめき）,
[BARK]Breathing_0,（荒い息遣い）,
[BARK]Breathing_1,（荒い息遣い）,
[BARK]Breathing_2,（荒い息遣い）,
[BARK]Breathing_3,（荒い息遣い）,
[BARK]Breathing_4,（荒い息遣い）,
[BARK]Compliant_0,わかったよ、お巡りさん！,
[BARK]Compliant_1,ああ、わかったよ！,
[BARK]Compliant_10,床に伏せるよ！,
[BARK]Compliant_11,俺は武器は持ってない！,
[BARK]Compliant_2,シー、シー、わかった！,
[BARK]Compliant_3,OK、OK！,
[BARK]Compliant_4,やってるよ！,
[BARK]Compliant_5,動いてないって！,
[BARK]Compliant_6,頼むから急いでくれ！,
[BARK]Compliant_7,撃たないでくれ！,
[BARK]Compliant_8,撃たないでくれ！,
[BARK]Compliant_9,床に伏せるよ。,
[BARK]Death_0,xtonが消える,
[BARK]Death_1,（悲鳴）,
[BARK]Death_2,（悲鳴）,
[BARK]FellowAIKilled_0,アァァァ！,
[BARK]FellowAIKilled_1,（悲鳴）,
[BARK]FellowAIKilled_2,なんてこった！,
[BARK]FellowAIKilled_3,やめろ！,
[BARK]FellowAIKilled_4,狂ってる！,
[BARK]Flashed_0,ああ、クソッ！,
[BARK]Flashed_1,（悲鳴）,
[BARK]Flashed_2,ああ、クソッ！目が！,
[BARK]Flashed_3,アァァァ！ウッ！ウワァ！,
[BARK]Gassed_0,（咳き込む）,
[BARK]Gassed_1,（咳き込む）,
[BARK]Gassed_2,（咳き込む）,
[BARK]HeardSWAT_0,誰かいるか？,
[BARK]HeardSWAT_1,あれは誰だ？,
[BARK]HeardSWAT_2,警察だ！,
[BARK]HeardSWAT_3,助けてくれ！,
[BARK]HeardSWAT_4,助けてくれ！,
[BARK]Hesitating_0,俺は...,
[BARK]Hesitating_1,うぅ...俺は...その...,
[BARK]Hesitating_2,う～ん...,
[BARK]Hesitating_3,あの...,
[BARK]IdleAlly_0,大丈夫だ。とにかく呼吸するんだ！,
[BARK]IdleAlly_1,大丈夫だ。とにかく呼吸するんだ。,
[BARK]IdleAlly_2,落ち着いて、俺たちは大丈夫だ！,
[BARK]IdleAlly_3,ドクターはどこだ？,
[BARK]IdleAlly_4,落ち着いて、我々は大丈夫だ。,
[BARK]IdleAlly_5,怪我は？見せて。,
[BARK]IdleAlly_6,シーッ！しゃべるな！,
[BARK]IdleAlly_7,静かにしていろ。,
[BARK]IdleEnemy_0,頭がおかしくなったのか？ここは病院だぞ！,
[BARK]IdleEnemy_1,気でも狂ったのか？ここは病院だぞ。,
[BARK]IdleEnemy_2,この人たちに罪はない！,
[BARK]IdleEnemy_3,彼がどこにいるのかは知らない。俺は別の病棟で働いているんだ。,
[BARK]IdleEnemy_4,頼むから、もう誰も傷つけないでくれ！,
[BARK]IdleEnemy_5,お願いだから、やめてくれ！,
[BARK]IdleEnemy_6,危害を加えないでくれ、お願いだ！,
[BARK]IdleSelf_0,いや、6じゃない。,
[BARK]IdleSelf_1,イカれた奴らめ！,
[BARK]IdleSelf_2,なんてことだ。,
[BARK]IdleSelf_3,ディオス・ミオ！,
[BARK]IdleSelf_4,うわあ、神よ、お助けください！,
[BARK]IdleSelf_5,街全体がおかしくなってしまった！,
[BARK]Immune_0,（苦痛に満ちた叫び声）,
[BARK]Immune_1,（苦痛に満ちた叫び声）,
[BARK]Immune_2,一体なんなんだ？,
[BARK]Immune_3,正気か？！,
[BARK]IncapIdle_0,（苦し気なうめき声）,
[BARK]IncapIdle_1,（苦し気なうめき声）,
[BARK]NonCompliant_0,やめろ！,
[BARK]NonCompliant_1,やめろ！,
[BARK]NonCompliant_2,は？俺は看護師だ！,
[BARK]NonCompliant_3,できない！,
[BARK]NonCompliant_4,頼むから、やめてくれ！,
[BARK]NonCompliant_5,俺はあんたが求めてる奴じゃない！,
[BARK]NonCompliant_6,放してくれ！,
[BARK]NonCompliant_7,やめろ！俺は助けなきゃならないんだ！,
[BARK]NonCompliant_8,俺はどこへも行かない。,
[BARK]NonCompliant_9,俺はこの人たちを置いて行ったりしない！,
[BARK]Pain_0,（苦痛に満ちた叫び声）,
[BARK]Pain_1,（苦痛に満ちた叫び声）,
[BARK]Pain_10,（苦痛に満ちた叫び声）,
[BARK]Pain_2,（苦痛に満ちた叫び声）,
[BARK]Pain_3,（苦痛に満ちた叫び声）,
[BARK]Pain_4,（苦痛に満ちた叫び声）,
[BARK]Pain_5,（苦痛に満ちた叫び声）,
[BARK]Pain_6,（苦痛に満ちた叫び声）,
[BARK]Pain_7,（苦痛に満ちた叫び声）,
[BARK]Pain_8,（苦痛に満ちた叫び声）,
[BARK]Pain_9,（苦痛に満ちた叫び声）,
[BARK]PickedUp_0,放せ！,
[BARK]PickedUp_1,俺は残りたいんだ！,
[BARK]PickedUp_2,他の人たちを連れ出せ！,
[BARK]PickedUp_3,患者たちのために戻らなきゃならないんだ！,
[BARK]PlayerSeen_0,ああ、神のご加護を！,
[BARK]PlayerSeen_1,君は助けなくてはならない！,
[BARK]PlayerSeen_2,助かった！,
[BARK]PlayerSeen_3,こっちだ、早く！,
[BARK]PlayerSeen_4,ドクターがひとり必要だ！,
[BARK]Stunned_0,（苦痛に満ちた叫び声）,
[BARK]Stunned_1,（苦痛に満ちた叫び声）,
[BARK]Stunned_2,（苦痛に満ちた叫び声）,
[BARK]Tased_0,（苦痛に満ちた叫び声）,
[BARK]Tased_1,（苦痛に満ちた叫び声）,
[BARK]Tased_2,（苦痛に満ちた叫び声）,
[REPLY]Shooting_0,（悲鳴）,
[REPLY]Shooting_1,（悲鳴）,
[REPLY]Shooting_2,なんてこった！,
[REPLY]Shooting_3,なんてこった！,
[TELL]Fleeing_0,（悲鳴）,
[TELL]Fleeing_1,あふぁ！,
[TELL]Fleeing_2,助けてくれ！,
[TELL]Fleeing_3,行かないと！危険だ！,
[TELL]Fleeing_4,走れ！,
