Key,Dialogue,Context
[BARK]Arrested_0,頼むよ。私は医者だ。人を救いたい。,
[BARK]Arrested_1,何をしてる？私は医者だ。放してくれ。,
[BARK]Arrested_10,できる限り命を救おうとしたんだ。,
[BARK]Arrested_11,放せ！,
[BARK]Arrested_12,彼はここにいる。それを狙って来たのかもな。,
[BARK]Arrested_13,患者が呼んでいる。,
[BARK]Arrested_14,人が死んでるんだ！我々が助けてやらなくてどうする！,
[BARK]Arrested_15,スタッフはできる限りのことをしている。,
[BARK]Arrested_2,私は誓いを立てた。命を救わせてくれ。,
[BARK]Arrested_3,放してくれ！,
[BARK]Arrested_4,よすんだ！,
[BARK]Arrested_5,私にも使命がある！,
[BARK]Arrested_6,すべきことをさせてくれ。,
[BARK]Arrested_7,命を救いたい。,
[BARK]Arrested_8,命を救いたいんだ！,
[BARK]Arrested_9,彼らの狙いは分からない。,
[BARK]ArrestIdle_0,置いていかないでくれ！,
[BARK]ArrestIdle_1,いつになったら放してくれる？,
[BARK]ArrestIdle_2,信じてくれ！,
[BARK]ArrestIdle_3,できる限り多くの人を逃がしてくれ！,
[BARK]ArrestIdle_4,スタッフの邪魔をしないでほしい。,
[BARK]ArrestIdle_5,できる限り多く人を逃がすんだ。,
[BARK]ArrestIdle_6,気をつけろ。奴らは誰かを探し回ってる。,
[BARK]ArrestIdle_7,幸運を！,
[BARK]Bashed_0,（うめき声）,
[BARK]Bashed_1,（うめき声）,
[BARK]Bashed_2,（うめき声）,
[BARK]Bashed_3,（うめき声）,
[BARK]Bashed_4,（うめき声）,
[BARK]Bashed_5,（うめき声）,
[BARK]Bashed_6,（うめき声）,
[BARK]Bashed_7,（うめき声）,
[BARK]Bashed_8,（うめき声）,
[BARK]Breathing_0,（荒い息遣い）,
[BARK]Breathing_1,（荒い息遣い）,
[BARK]Compliant_0,り、了解！,
[BARK]Compliant_1,分かった、聞いてるよ。,
[BARK]Compliant_2,撃つな！,
[BARK]Compliant_3,分かったよ。,
[BARK]Compliant_4,命を救いたいんだ。,
[BARK]Compliant_5,私は医者だ。身分証を持ってる。,
[BARK]Compliant_6,はいはい！,
[BARK]Compliant_7,急げ！急ぐんだ！,
[BARK]Compliant_8,私は奴らの仲間じゃない！,
[BARK]Death_0,（悲鳴）,
[BARK]Death_1,（悲鳴）,
[BARK]Death_2,ああ！,
[BARK]Death_3,（悲鳴）,
[BARK]FellowAIKilled_0,よせ！,
[BARK]FellowAIKilled_1,やめろ！,
[BARK]FellowAIKilled_2,クソ野郎！,
[BARK]FellowAIKilled_3,イカれた奴め！,
[BARK]Flashed_0,ああ、クソ！目が！,
[BARK]Flashed_1,ああ！ああ！何も見えない！,
